date_time,category,account,amount,tags,Month,Day_of_Week,Is_Weekend
2025-10-09,Taxi,acct_1,17.0,tag_1,October,Thursday,False
2025-10-09,Cafe,acct_1,6.0,tag_1,October,Thursday,False
2025-10-09,Public transport,acct_2,1.0,tag_2,October,Thursday,False
2025-10-08,Food,acct_1,10.0,tag_1,October,Wednesday,False
2025-10-08,Public transport,acct_3,1.0,tag_2,October,Wednesday,False
2025-10-07,Cafe,acct_3,3.0,tag_1,October,Tuesday,False
2025-10-07,Food,acct_3,2.0,tag_1,October,Tuesday,False
2025-10-07,Taxi,acct_1,14.0,tag_1,October,Tuesday,False
2025-10-06,Public transport,acct_2,2.0,tag_1,October,Monday,False
2025-10-06,Gifts,acct_3,15.0,tag_1,October,Monday,False
2025-10-06,Cafe,acct_3,3.0,tag_1,October,Monday,False
2025-10-06,Public transport,acct_2,1.0,tag_1,October,Monday,False
2025-10-05,Public transport,acct_2,1.0,tag_1,October,Sunday,True
2025-10-04,Public transport,acct_2,1.0,tag_1,October,Saturday,True
2025-10-04,Food,acct_3,1.0,tag_1,October,Saturday,True
2025-10-04,Loan given,acct_1,52.0,tag_1,October,Saturday,True
2025-10-04,Loan given,acct_1,86.0,tag_1,October,Saturday,True
2025-10-03,Cafe,acct_3,59.0,tag_1,October,Friday,False
2025-10-02,Taxi,acct_3,4.0,tag_1,October,Thursday,False
2025-10-02,Public transport,acct_2,2.0,tag_1,October,Thursday,False
2025-10-02,Cafe,acct_3,1.0,tag_1,October,Thursday,False
2025-10-02,Public transport,acct_2,1.0,tag_1,October,Thursday,False
2025-10-01,Cafe,acct_3,2.0,tag_1,October,Wednesday,False
2025-10-01,Cafe,acct_1,14.0,tag_1,October,Wednesday,False
2025-10-01,Public transport,acct_2,1.0,tag_1,October,Wednesday,False
2025-10-01,Cafe,acct_3,4.0,tag_1,October,Wednesday,False
2025-10-01,Cafe,acct_3,5.0,tag_1,October,Wednesday,False
2025-10-01,Cafe,acct_3,3.0,tag_1,October,Wednesday,False
2025-09-30,Public transport,acct_2,1.0,tag_1,September,Tuesday,False
2025-09-30,Cafe,acct_3,1.0,tag_1,September,Tuesday,False
2025-09-30,University,acct_3,4.0,tag_1,September,Tuesday,False
2025-09-30,Cafe,acct_3,3.0,tag_1,September,Tuesday,False
2025-09-30,Public transport,acct_2,2.0,tag_1,September,Tuesday,False
2025-09-30,Public transport,acct_2,2.0,tag_3,September,Tuesday,False
2025-09-30,Leisure,acct_1,31.0,tag_1,September,Tuesday,False
2025-09-29,Food,acct_3,5.0,tag_1,September,Monday,False
2025-09-29,Clothes,acct_1,88.0,tag_1,September,Monday,False
2025-09-29,Bought for myself,acct_1,1129.0,tag_1,September,Monday,False
2025-09-29,Cafe,acct_3,1.0,tag_1,September,Monday,False
2025-09-29,Public transport,acct_2,1.0,tag_1,September,Monday,False
2025-09-29,Cafe,acct_3,3.0,tag_1,September,Monday,False
2025-09-28,Food,acct_3,9.0,tag_1,September,Sunday,True
2025-09-28,Public transport,acct_2,1.0,tag_1,September,Sunday,True
2025-09-27,Public transport,acct_2,1.0,tag_1,September,Saturday,True
2025-09-27,Food,acct_3,10.0,tag_1,September,Saturday,True
2025-09-27,Food,acct_3,1.0,tag_1,September,Saturday,True
2025-09-27,Taxi,acct_3,24.0,tag_1,September,Saturday,True
2025-09-27,Food,acct_1,65.0,tag_1,September,Saturday,True
2025-09-26,Taxi,acct_1,25.0,tag_1,September,Friday,False
2025-09-26,Leisure,acct_1,232.0,tag_1,September,Friday,False
2025-09-26,Cafe,acct_1,5.0,tag_1,September,Friday,False
2025-09-25,Food,acct_1,81.0,tag_1,September,Thursday,False
2025-09-25,Food,acct_1,313.0,tag_1,September,Thursday,False
2025-09-25,Public transport,acct_2,1.0,tag_1,September,Thursday,False
2025-09-25,Public transport,acct_2,2.0,tag_2,September,Thursday,False
2025-09-25,Public transport,acct_2,1.0,tag_3,September,Thursday,False
2025-09-24,Public transport,acct_2,1.0,tag_1,September,Wednesday,False
2025-09-24,Cafe,acct_1,16.0,tag_1,September,Wednesday,False
2025-09-24,Cafe,acct_1,6.0,tag_1,September,Wednesday,False
2025-09-24,Public transport,acct_2,1.0,tag_2,September,Wednesday,False
2025-09-24,Food,acct_3,1.0,tag_1,September,Wednesday,False
2025-09-24,Food,acct_3,11.0,tag_1,September,Wednesday,False
2025-09-23,Public transport,acct_2,2.0,tag_2,September,Tuesday,False
2025-09-23,Public transport,acct_2,1.0,tag_2,September,Tuesday,False
2025-09-23,Public transport,acct_2,2.0,tag_1,September,Tuesday,False
2025-09-22,Cafe,acct_3,8.0,tag_1,September,Monday,False
2025-09-22,Public transport,acct_2,1.0,tag_1,September,Monday,False
2025-09-22,Gifts,acct_3,12.0,tag_1,September,Monday,False
2025-09-21,Public transport,acct_2,2.0,tag_1,September,Sunday,True
2025-09-21,Public transport,acct_2,1.0,tag_1,September,Sunday,True
2025-09-20,Public transport,acct_2,1.0,tag_1,September,Saturday,True
2025-09-20,Public transport,acct_2,1.0,tag_4,September,Saturday,True
2025-09-17,Health,acct_1,73.0,tag_1,September,Wednesday,False
2025-09-17,University,acct_1,12.0,tag_1,September,Wednesday,False
2025-09-17,Cafe,acct_3,4.0,tag_1,September,Wednesday,False
2025-09-17,Public transport,acct_2,1.0,tag_2,September,Wednesday,False
2025-09-16,Public transport,acct_2,1.0,tag_1,September,Tuesday,False
2025-09-15,Public transport,acct_2,1.0,tag_1,September,Monday,False
2025-09-14,Public transport,acct_2,1.0,tag_1,September,Sunday,True
2025-09-14,University,acct_1,5.0,tag_1,September,Sunday,True
2025-09-14,Taxi,acct_1,15.0,tag_1,September,Sunday,True
2025-09-14,Cafe,acct_1,9.0,tag_1,September,Sunday,True
2025-09-13,Public transport,acct_2,1.0,tag_1,September,Saturday,True
2025-09-13,Taxi,acct_1,6.0,tag_1,September,Saturday,True
2025-09-12,Public transport,acct_2,1.0,tag_2,September,Friday,False
2025-09-11,Food,acct_1,10.0,tag_1,September,Thursday,False
2025-09-11,Public transport,acct_2,2.0,tag_2,September,Thursday,False
2025-09-11,Loan given,acct_1,457.0,tag_1,September,Thursday,False
2025-09-11,Public transport,acct_2,2.0,tag_1,September,Thursday,False
2025-09-11,Cafe,acct_1,9.0,tag_1,September,Thursday,False
2025-09-10,Food,acct_1,5.0,tag_1,September,Wednesday,False
2025-09-10,Cafe,acct_1,9.0,tag_1,September,Wednesday,False
2025-09-10,Public transport,acct_2,1.0,tag_1,September,Wednesday,False
2025-09-09,Food,acct_1,6.0,tag_1,September,Tuesday,False
2025-09-09,Public transport,acct_2,1.0,tag_2,September,Tuesday,False
2025-09-08,University,acct_1,17.0,tag_1,September,Monday,False
2025-09-08,Public transport,acct_2,2.0,tag_2,September,Monday,False
2025-09-08,Public transport,acct_2,1.0,tag_1,September,Monday,False
2025-09-07,Taxi,acct_1,18.0,tag_1,September,Sunday,True
2025-09-07,Public transport,acct_2,1.0,tag_1,September,Sunday,True
2025-09-06,Taxi,acct_1,20.0,tag_1,September,Saturday,True
2025-09-06,Public transport,acct_2,1.0,tag_4,September,Saturday,True
2025-09-06,Public transport,acct_2,2.0,tag_1,September,Saturday,True
2025-09-06,Food,acct_1,5.0,tag_1,September,Saturday,True
2025-09-06,Public transport,acct_2,1.0,tag_2,September,Saturday,True
2025-09-06,Public transport,acct_2,2.0,tag_2,September,Saturday,True
2025-09-06,Taxi,acct_1,9.0,tag_1,September,Saturday,True
2025-09-06,Cafe,acct_1,9.0,tag_1,September,Saturday,True
2025-09-05,Gifts,acct_1,5.0,tag_1,September,Friday,False
2025-09-05,Public transport,acct_2,2.0,tag_2,September,Friday,False
2025-09-05,Cafe,acct_1,4.0,tag_1,September,Friday,False
2025-09-05,Public transport,acct_2,1.0,tag_2,September,Friday,False
2025-09-04,Food,acct_1,15.0,tag_1,September,Thursday,False
2025-09-03,Public transport,acct_2,2.0,tag_1,September,Wednesday,False
2025-09-03,Public transport,acct_1,5.0,tag_1,September,Wednesday,False
2025-09-03,Cafe,acct_1,4.0,tag_1,September,Wednesday,False
2025-09-03,Cafe,acct_1,5.0,tag_1,September,Wednesday,False
2025-09-02,Public transport,acct_2,2.0,tag_2,September,Tuesday,False
2025-09-02,Cafe,acct_1,5.0,tag_1,September,Tuesday,False
2025-09-01,Public transport,acct_2,1.0,tag_1,September,Monday,False
2025-09-01,Leisure,acct_1,21.0,tag_1,September,Monday,False
2025-09-01,Cafe,acct_1,5.0,tag_1,September,Monday,False
2025-08-31,Cafe,acct_1,11.0,tag_1,August,Sunday,True
2025-08-31,Cafe,acct_1,17.0,tag_1,August,Sunday,True
2025-08-31,Cafe,acct_1,55.0,tag_1,August,Sunday,True
2025-08-31,Taxi,acct_1,12.0,tag_1,August,Sunday,True
2025-08-31,Public transport,acct_1,10.0,tag_1,August,Sunday,True
2025-08-31,Leisure,acct_1,12.0,tag_1,August,Sunday,True
2025-08-31,Food,acct_1,10.0,tag_1,August,Sunday,True
2025-08-30,Cafe,acct_1,22.0,tag_1,August,Saturday,True
2025-08-30,Bought for myself,acct_1,9.0,tag_1,August,Saturday,True
2025-08-30,Public transport,acct_1,10.0,tag_1,August,Saturday,True
2025-08-29,Public transport,acct_2,1.0,tag_1,August,Friday,False
2025-08-28,Public transport,acct_2,1.0,tag_4,August,Thursday,False
2025-08-28,Gifts,acct_1,11.0,tag_1,August,Thursday,False
2025-08-28,Leisure,acct_1,93.0,tag_1,August,Thursday,False
2025-08-28,Gifts,acct_1,32.0,tag_1,August,Thursday,False
2025-08-28,Public transport,acct_2,2.0,tag_4,August,Thursday,False
2025-08-27,Public transport,acct_2,1.0,tag_4,August,Wednesday,False
2025-08-27,Cafe,acct_3,13.0,tag_1,August,Wednesday,False
2025-08-27,Cafe,acct_1,6.0,tag_1,August,Wednesday,False
2025-08-26,Public transport,acct_2,1.0,tag_4,August,Tuesday,False
2025-08-26,Food,acct_3,1.0,tag_1,August,Tuesday,False
2025-08-26,Food,acct_3,2.0,tag_1,August,Tuesday,False
2025-08-25,Public transport,acct_2,1.0,tag_4,August,Monday,False
2025-08-25,Food,acct_3,3.0,tag_1,August,Monday,False
2025-08-23,Food,acct_1,55.0,tag_1,August,Saturday,True
2025-08-23,Public transport,acct_2,1.0,tag_4,August,Saturday,True
2025-08-22,Food,acct_3,4.0,tag_1,August,Friday,False
2025-08-22,Food,acct_3,6.0,tag_1,August,Friday,False
2025-08-22,Food,acct_3,1.0,tag_1,August,Friday,False
2025-08-22,Public transport,acct_2,1.0,tag_4,August,Friday,False
2025-08-22,Leisure,acct_1,16.0,tag_1,August,Friday,False
2025-08-21,Food,acct_3,5.0,tag_1,August,Thursday,False
2025-08-20,Cafe,acct_3,8.0,tag_1,August,Wednesday,False
2025-08-20,Leisure,acct_1,5.0,tag_1,August,Wednesday,False
2025-08-20,Public transport,acct_2,1.0,tag_4,August,Wednesday,False
2025-08-20,Taxi,acct_1,12.0,tag_1,August,Wednesday,False
2025-08-19,Public transport,acct_1,5.0,tag_1,August,Tuesday,False
2025-08-19,Bought for myself,acct_1,71.0,tag_1,August,Tuesday,False
2025-08-18,Public transport,acct_2,1.0,tag_1,August,Monday,False
2025-08-17,Food,acct_1,6.0,tag_1,August,Sunday,True
2025-08-17,Cafe,acct_1,20.0,tag_1,August,Sunday,True
2025-08-17,Leisure,acct_1,11.0,tag_1,August,Sunday,True
2025-08-17,Food,acct_1,5.0,tag_1,August,Sunday,True
2025-08-16,Gifts,acct_1,10.0,tag_1,August,Saturday,True
2025-08-16,Food,acct_1,5.0,tag_1,August,Saturday,True
2025-08-15,Food,acct_3,0.0,tag_1,August,Friday,False
2025-08-15,Food,acct_1,22.0,tag_1,August,Friday,False
2025-08-15,Public transport,acct_2,1.0,tag_4,August,Friday,False
2025-08-15,Food,acct_1,5.0,tag_1,August,Friday,False
2025-08-15,Public transport,acct_2,1.0,tag_1,August,Friday,False
2025-08-14,Food,acct_1,11.0,tag_1,August,Thursday,False
2025-08-13,Public transport,acct_2,1.0,tag_1,August,Wednesday,False
2025-08-13,Public transport,acct_2,1.0,tag_4,August,Wednesday,False
2025-08-13,Public transport,acct_2,1.0,tag_3,August,Wednesday,False
2025-08-12,Public transport,acct_2,1.0,tag_3,August,Tuesday,False
2025-08-12,Public transport,acct_2,1.0,tag_4,August,Tuesday,False
2025-08-12,Public transport,acct_2,1.0,tag_1,August,Tuesday,False
2025-08-12,Leisure,acct_1,25.0,tag_1,August,Tuesday,False
2025-08-11,Food,acct_1,5.0,tag_1,August,Monday,False
2025-08-11,Public transport,acct_1,5.0,tag_4,August,Monday,False
2025-08-08,Food,acct_1,4.0,tag_1,August,Friday,False
2025-08-06,Food,acct_3,2.0,tag_1,August,Wednesday,False
2025-08-05,Food,acct_1,10.0,tag_1,August,Tuesday,False
2025-08-05,Food,acct_3,2.0,tag_1,August,Tuesday,False
2025-08-05,Loan given,acct_1,59.0,tag_1,August,Tuesday,False
2025-08-04,Public transport,acct_2,3.0,tag_4,August,Monday,False
2025-08-04,Food,acct_1,5.0,tag_1,August,Monday,False
